nda,1975,"Brian F. Chellas, Audrey McKinney",The completeness of monotonic modal logics.
nda,1975,Christopher J. Ash,Sentences with finite models.
nda,1975,Ronald Fagin,A spectrum hierarchy.
nda,1975,J. V. Howard,Computable explanations.
nda,1975,"William S. Hatcher, A. Shafaat",Categorical languages for algebraic structures.
reserved keyword,2009,"David Farag, Peter H. Schmitt",Improving Non-Progress Cycle Checks.
reserved keyword,2009,"Pascal Lafourcade 0001, Vanessa Terrade, Sylvain Vigier",Comparison of Cryptographic Verification Tools Dealing with Algebraic Properties.
reserved keyword,2009,"Ehab ElSalamouny, Vladimiro Sassone, Mogens Nielsen",HMM-Based Trust Model.
reserved keyword,2009,"Dragan Bosnacki, Stefan Edelkamp, Damian Sulewski",Efficient Probabilistic Model Checking on General Purpose Graphics Processors.
reserved keyword,2009,"Tim Kovse, Bostjan Vlaovic, Aleksander Vreze, Zmago Brezocnik",Eclipse Plug-In for Spin and st2msc Tools-Tool Presentation.
genetic programming,1997,"Jon Christensen, Joe Marks, J. Thomas Ngo",Automatic motion synthesis for 3D mass-spring models.
big data,2004,"Gerard Lods, Philippe Gouze","WTFM, software for well test analysis in fractured media combining fractional flow with double porosity and leakance approaches."
big data,2004,"Shmuel Moradoff, Dani Lischinski",Constrained synthesis of textural motion for articulated characters.
first-class object,1991,"Ramanathan V. Guha, Douglas B. Lenat",CYC: A mid-term report.
regular expression,1991,Harald Trost,Recognition and Generation of word form for natural language understanding systems: Integrating two-level morphology and feature unification.
deep learning,1999,Catherine McLoughlin,Culturally responsive technology use: developing an on-line community of learners.
deep learning,1999,Roger Lewis,The Role of Technology in Learning: Managing to Achieve a Vision.
application programming interface,1991,Yoshiaki Mima,A Visual Programming Environment for Programming by Example Abstraction.
prolog,1986,P. Ecsedi-Tth,On the Expressive Power of Equality-Free First Order Languages.
prolog,1986,"Marta Cialdea, Luis Farias del Cerro",A Modal Herbrand's Property.
artificial intelligence,1982,"George Weaver, Raymond D. Gumb",First Order Properties of Relations with the Monotonic Closure Property.
worm,1977,Robert B. Clark,An integrated planning system in the complex product development and manufacturing environment.
b-tree,1989,Tom Altman,Solving the JIGSAW puzzle problem in linear time.
b-tree,1989,James O. Henriksen,Alternative modeling perspectives: finding the creative spark.
xml,1980,Anita Wasilewska,On the Gentzen Type Formalizations.
extensible markup language,2000,"William C. Goers, Michael R. Brenner",Implementing a management system architecture framework.
extensible markup language,2000,"Christopher L. Bear, Warren A. Montgomery, Diana B. Nolte, Suzanne K. Rajchel, Michael C. Silva","Open, programmable networks."
extensible markup language,2000,"Janet R. Dianda, Bin-Wen Ho, Kristin F. Kocan",Reducing complexity for converged voice/data networks and services architecture.
extensible markup language,2000,"A. Dugenske, A. Fraser, T. Nguyen, R. Voitus",The National Electronics Manufacturing Initiative (NEMI) plug and play factory project.
extensible markup language,2000,"Olivier B. Clarisse, Pascal Collet, James P. Dunn, Bruce A. Westergren, Lizette Velzquez",Portal services: An evolution of voice features.
extensible markup language,2000,"Glenn Bruns, Alan E. Frey, Peter Mataga, Susan J. Tripp",Automated software development with XML and the Java* language.
extensible markup language,2000,"Kurt S. Silverman, Michael R. Brenner, Gregory E. Shannon",Toward a vision for network and service management.
extensible markup language,2000,"Hendrik B. Meeuwissen, Harold J. Batteram, John-Luc Bakker",The FRIENDS platform - A software platform for advanced services and applications.
extensible markup language,2000,"Benchiao Jai, Michael Ogg, Aleta Ricciardi",Effortless software interoperability with Jinistar connection technology.
extensible markup language,2000,Kenan E. Sahin,Overview.
extensible markup language,2000,"Thomas Ball, Veta Bonnewell, Peter J. Danielsen, Peter Mataga, Kenneth Rehor",Speech-enabled services using TelePortalTM software and VoiceXMLstar.
extensible markup language,2000,"Anthony Y. Lui, Shanika A. Karunasekera, Chokchai Leangsuksun",The Enhanced Service Manager: A service management system for next-generation networks.
extensible markup language,2000,"Ramachendra P. Batni, Chinmei C. Lee, Douglas W. Varney",Enhanced services in WAP-enabled networks.
extensible markup language,2000,"Shervin Erfani, Victor B. Lawrence, Manu Malek",The management paradigm shift: Challenges from element management to service management.
extensible markup language,2000,"Douglas C. Dowden, Kristin F. Kocan, Jack Kozik",The future of network-provided communications services.
extensible markup language,2000,"Janet R. Dianda, Raymond O. Colbert, Philippe J. L. Herve, Tongzeng Yang",Programmable service platforms for converged voice/data services.
software development kit,1992,"J. J. Birchman, Steven L. Tanimoto",An Implementation of the VIVA Visual Language on the NeXT Computer.
local optimum,1989,"F. Hank Grant, R. G. Lagoni",The user's role in a simulation based scheduling system.
c++,1980,"M. Salim, B. E. Maden",Nucleotide sequence encoding the 5' end of Xenopus laevis 18S rRNA.
internet,1989,"Alexander Dupuy, Jed Schwartz, Yechiam Yemini, David F. Bacon",NEST: a network simulation & prototyping testbed.
internet,1989,"Douglas W. Jones, Chien-Chun Chou, Debra Renk, Steven C. Bruell",Experience with concurrent simulation.
memoization,1995,"Kees Trautwein, Erik Aarts",Non-associative Lambek Categorial Grammar in Polynomial Time.
lambda calculus,1981,Robert Ian Goldblatt,Grothendieck Topology as Geometric Modality.
lambda calculus,1981,"Mario Coppo, Mariangiola Dezani-Ciancaglini, Betti Venneri",Functional Characters of Solvable Terms.
lambda calculus,1981,John Staples,Efficient Combinatory Reduction.
search engine optimization,2010,"Damiano Distante, Michele Risi, Giuseppe Scanniello",Extending Web Content Management Systems Navigation Capabilities with Semantic Navigation Maps.
heuristics,1987,"Harald Trost, Ernst Buchberger, Wolfgang Heinz, Christian Hrtnagl, Johannes Matiasek",DATENBANK-DIALOG: A German language interface for relational databases.
heuristics,1987,Julia Rose Galliers,"AI for special needs - an \"intelligent\" communication aid for bliss users."
heuristics,1987,Frank Puppe,Requirements for a classification expert system shell and their realization in Med 2.
heuristics,1987,"Jay Liebowitz, Patricia Lightfoot",Expert scheduling systems: Survey and Preliminary design concepts.
linux,1996,"Alexandru Postolache, Jacques G. Trecat",Pyramidal approach to license plate segmentation.
linux,1996,Maria L. Gini,Designing and Building Autonomous Minirobots.
machine learning,1987,Bernard P. Zeigler,Knowledge representation from Newton to MINSKY and beyond.
python,1998,"David J. Duke, Ivan Herman",Programming Paradigms in an Object-Oriented Multimedia Standard.
quicksort,1989,"Sandhya Dwarkadas, J. Robert Jump, James B. Sinclair",Efficient simulation of cache memories.
user interface,1977,H. F. Martin,The prospects of computers in the future.
devops,2014,"C. P. Marin Ortega, C. P. Prez Lorences, Jorge Marx Gmez",Architecture for Business Intelligence Design on the IT Service Management Scope.
devops,2014,"Andrea Janes, Giancarlo Succi",Lean Software Development in Action
devops,2014,"Koray Erek, Thorsten Prhl, Rdiger Zarnekow",Managing Cloud Services with IT Service Management Practices.
devops,2014,"Raul Valverde, Malleswara Talla",DSS Based IT Service Support Process Reengineering Using ITIL: A Case Study.
devops,2014,"Alexandra Pomares Quimbaya, Rafael A. Gonzalez, Wilson-Ricardo Bohrquez, Oscar Mauricio Muoz, Olga Milena Garca, Dario Londoo",Improving Decision-Making for Clinical Research and Health Administration.
devops,2014,"Andreas Brunnert, Christian Vgele, Alexandru Danciu, Matthias Pfaff, Manuel Mayer, Helmut Krcmar",Performance Management Work.
devops,2014,"Manuel Mora, Gloria E. Phillips-Wren, Francisco Cervantes-Prez, Leonardo Garrido, Ovsei Gelman",Improving IT Service Management with Decision-Making Support Systems.
devops,2014,"Roberto Prez Lpez de Castro, Inty Sez Mosquera, Jorge Marx Gmez",Towards Semantic Support for Business Process Integration.
devops,2014,"Ammar Memari, Jorge Marx Gmez",Adaptive Applications: Definition and Usability in IT-based Service Systems Management.
devops,2014,"Abdul Rahman Ahlan, Yusri Arshad, Binyamin A. Ajayi",IT Governance in a Malaysian Public Institute of Higher Learning and Intelligent Decision Making Support System Solution.
zero day,2007,"Stephan Schmidt 0001, Tansu Alpcan, Sahin Albayrak, Tamer Basar, Achim Mller",A Malware Detector Placement Game for Intrusion Detection.
zero day,2007,"Daniel J. Martnez-Manzano, Manuel Gil Prez, Gabriel Lpez Milln, Antonio Fernandez Gmez-Skarmeta",A Proposal for the Definition of Operational Plans to Provide Dependability and Security.
zero day,2007,"John Mallios, Stelios Dritsas, Bill Tsoumas, Dimitris Gritzalis",Attack Modeling of SIP-Oriented SPIT.
zero day,2007,"Georgios Kambourakis, Tassos Moschos, Dimitris Geneiatakis, Stefanos Gritzalis",Detecting DNS Amplification Attacks.
zero day,2007,"Roberto Setola, Stefano De Porcellinis",A Methodology to Estimate Input-Output Inoperability Model Parameters.
zero day,2007,Carlos C. Solari,Designing for security.
zero day,2007,"Davide Cerotti, Daniele Codetta Raiteri, Susanna Donatelli, Claudio Brasca, Giovanna Dondossola, Fabrizio Garrone",UML Diagrams Supporting Domain Specification Inside the CRUTIAL Project.
zero day,2007,"Gabriel Maci-Fernndez, Jess E. Daz-Verdejo, Pedro Garcia-Teodoro, Francisco de Toro-Negro",LoRDAS: A Low-Rate DoS Attack against Application Servers.
zero day,2007,"Wayne F. Boyer, Miles A. McQueen",Ideal Based Cyber Security Technical Metrics for Control Systems.
polymorphism,1990,"Marc Najork, Eric J. Golin",Enhancing Show-and-Tell with a polymorphic type system and higher-order functions.
polymorphism,1990,"Luigi Cinque, Maria Francesca Costabile, Stefano Levialdi, Michele Missikoff",Towards a Formal Specification Methodology for Iconic Interface Design.
declarative programming,1989,"Allen L. Ambler, Margaret M. Burnett",Visual languages and the conflict between single assignment and iteration.
persistent memory,2004,"Roman Borisyuk, Frank Hoppensteadt",A theory of epineuronal memory.
predictive analytics,2008,"Ramachendra P. Batni, John F. Heck",An analytics engine architecture for service provider deployments.
procedural language,1987,Christian Holzbaur,Synthesis of Hybrid Languages.
debugger,1989,"Alexander Dupuy, Jed Schwartz, Yechiam Yemini, David F. Bacon",NEST: a network simulation & prototyping testbed.
debugger,1989,"Robert C. Crain, Daniel T. Brunner",Extended features of GPSS/H.
debugger,1989,"David T. Sturrock, Claude Dennis Pegden",Introduction to SIMAN.
quantum computing,1998,Martin J. Dudziak,Coordinated traffic incident management using the I-Net embedded sensor architecture.
structured data,1987,"Stefano A. Cerri, P. Landini, M. Leoncini",Cooperative agents for knowledge-based information systems: Dialogue about the archeology.
structured data,1987,"Cristina Sernadas, Helder Coelho, Graa Gaspar",Communication knowledge systems: Part I - Big talk among small systems.
unix,1987,Bernard R. Bachmann,Expert systems connectivity.
unix,1987,Julia Rose Galliers,"AI for special needs - an \"intelligent\" communication aid for bliss users."
unix,1987,"Stefano A. Cerri, P. Landini, M. Leoncini",Cooperative agents for knowledge-based information systems: Dialogue about the archeology.
embedding,1975,Antonn Sochor,Contribution to the theory of semisets VI: (Non-existence of the class of all absolute natural numbers).
embedding,1975,"William S. Hatcher, A. Shafaat",Categorical languages for algebraic structures.
embedding,1975,"Petr Vopenka, Antonn Sochor",Contributions to the theory of semisets V: On the axiom of general collapse.
algorithm,1975,Charles E. Hughes,Sets derived by deterministic systems with axiom.
algorithm,1975,Ivan Marques,On speedability of recursively enumerable sets.
algorithm,1975,Eliot D. Feldman,L-Î£.
algorithm,1975,Ronald Fagin,A spectrum hierarchy.
algorithm,1975,J. V. Howard,Computable explanations.
algorithm,1975,"Claus-Peter Schnorr, G. Stumpf",A characterization of complexity sequences.
algorithm,1975,Louise Hay,Spectra and halting problems.
ddos,1994,May C. Abboud,Problem Solving and Program Design: A Pedagogical Approach.
social graph,2008,"Sheila Kinsella, John G. Breslin, Alexandre Passant, Stefan Decker",Applications of Semantic Web Methodologies and Techniques to Social Networks and Social Websites.
social graph,2008,"Norbert E. Fuchs, Kaarel Kaljurand, Tobias Kuhn",Attempto Controlled English for Knowledge Representation.
social graph,2008,"Steffen Staab, Ansgar Scherp, Richard Arndt, Raphal Troncy, Marcin Grzegorzek, Carsten Saathoff, Simon Schenk, Lynda Hardman",Semantic Multimedia.
trojan horse,2002,"Paul Sijben, Willem van Willigenburg, Michel de Boer, Sietse van der Gaast",Middleboxes: Controllable media firewalls.
trojan horse,2002,"Vikas Jayaswal, William Yurcik, David Doss",Internet hack back: counter attacks as self-defense or vigilantism?
trojan horse,2002,"Brian Scottberg, William Yurcik, David Doss",Internet honeypots: protection or entrapment?
loosely typed language,2007,"Valentin Dinu, Prakash M. Nadkarni",Guidelines for the effective use of entity-attribute-value modeling for biomedical databases.
data science,2005,"Sunil Movva, Rahul Ramachandran, Xiang Li, Sarita Khaire, Ken Keiser, Helen Conover, Sara J. Graves",Syntactic and semantic metadata integration for science data use.
data science,2005,"Alex Murillo, J. Fernando Vera, Willem J. Heiser",A Permutation-Translation Simulated Annealing Algorithm for L1 and L2 Unidimensional Scaling.
database,1985,Hilbert Levitz,Decidability of some Problems Pertaining to Base 2 Exponential Diophantine Equations.
json,2002,"Anna Croon Fors, Mikael Jakobsson",Beyond use and design: the dialectics of being in virtual worlds.
erp,1975,"V. Wiktor Marek, M. Srebrny",No minimal transitive model of Z-.
erp,1975,"Claus-Peter Schnorr, G. Stumpf",A characterization of complexity sequences.
erp,1975,T. A. McKee,Infinitary logic and topological homeomorphisms.
erp,1975,Imre Z. Ruzsa,Two variants of the system of entailment.
erp,1975,"Petr Vopenka, Antonn Sochor",Contributions to the theory of semisets V: On the axiom of general collapse.
erp,1975,P. H. Stanford,Polish circles.
erp,1975,Charles E. Hughes,Sets derived by deterministic systems with axiom.
erp,1975,Alexander Abian,On the standard-model hypothesis of ZF.
erp,1975,Eliot D. Feldman,L-Î£.
erp,1975,Ronald Fagin,Monadic generalized spectra.
erp,1975,Harvey Friedman,A cumulative hierarchy of predicates.
erp,1975,Antonn Sochor,Contribution to the theory of semisets VI: (Non-existence of the class of all absolute natural numbers).
erp,1975,Michael Mortimer,On languages with two variables.
erp,1975,Ronald Fagin,A two-cardinal characterization of double spectra.
erp,1975,Richard Bird,Non recursive functionals.
erp,1975,Bernd J. Stephan,Compactness and recursive enumerability in intensional logic.
erp,1975,Christopher J. Ash,Sentences with finite models.
erp,1975,"William S. Hatcher, A. Shafaat",Categorical languages for algebraic structures.
erp,1975,Steven K. Thomason,Reduction of second-order logic to modal logic.
xpath,1990,John T. Stasko,Simplifying Algorithm Animation with TANGO.
machine language,1992,Stephen J. Hartley,An Operating Systems Laboratory Based on the SR (Synchronizing Resources) Programming Language.
perl,1975,Alexander Abian,On the standard-model hypothesis of ZF.
cross-platform,1993,"A. Santos, B. Trisch",Using Multimedia to Support Cooperative Editing.
relational database management system,1991,"Kathleen Culver-Lozo, S. Gelman",A proces definition methodology for software development organization.
relational database management system,1991,"Willa K. Ehrlich, Anthony Iannino, Bala Prasanna, John P. Stampfel, Jar R. Wu",How faults cause software failures: implications for software reliability engineering.
spam,1987,Hiroakira Ono,Reflection Principles in Fragments of Peano Arithmetic.
nested loop join,2011,"Rafal Maison, Daryl J. Steen, Maciej Zakrzewicz, Zenon Biniek",Monitoring high performance data streams in vertical markets: Theory and applications in public safety and healthcare.
http,1977,"I. H. Maxwell, F. Maxwell, W. E. Hahn",Removal of RNase activity from DNase by affinity chromatography on agarose coupled aminophenylphosphoryl-uridine-2' (3')-phosphate.
http,1977,"R. Kominami, M. Muramatsu","Heterogeneity of 5' -termini of nucleolar 45S, 32S and 28S RNA in mouse hepatoma."
http,1977,"P. Terpstra, M. Holtrop, A. Kroon",Heterogeneous base distribution in mitochondrial DNA of Neurospora crassa.
http,1977,"K. Henco, Detlev Riesner, H. L. Sanger",Conformation of viroids.
http,1977,"L. Willmitzer, Jrgen Bode, K. G. Wagner",Phosphorylated protamines. I. Binding stoichiometry and thermal stability of complexes in DNA.
http,1977,"H. A. Geerdes, Cornelis W. Hilbers",The iminoproton NMR spectrum of yeast tRNA-Phe predicted from crystal coordinates.
http,1977,"S. Yoshida, G. Ungers, B. H. Rosenberg",DNA swivel enzyme activity in a nuclear membrane fraction.
http,1977,"O. C. Uhlenbeck, V. Cameron",Equimolar addition of oligoribonucleotides with T4 RNA ligase.
http,1977,"M. Dorizzi, G. Merault, Maurille J. Fournier, J. Labouesse, Grard Keith, G. Dirheimer, R. H. Buckingham","Aminoacylation of tRNA Trp from beef liver, yeast and E. coli by beef pancrease tryptophan-tRNA ligase. Stoichiometry of tRNATrp binding."
http,1977,"J. E. Sobura, M. R. Chowdhury, D. A. Hawley, A. J. Wahba",Requirement of chain initiation factor 3 and ribosomal protein S1 in translation of synthetic and natural messenger RNA.
http,1977,"M. Bina-Stein, M. F. Singer",The effect of H1 histone on the action of DNA-relaxing enzyme.
http,1977,"A. J. Bell, N. Hardman",Characterization of foldback sequences in hamster DNA using electron microsocpy.
http,1977,"Claude Giessner-Prettre, B. Pullman, J. Caillet",Theoretical study on the proton chemical shifts of hydrogen bonded nucleic acid bases.
http,1977,"K. E. Hastings, S. Millward",5' Terminal noncoding sequence heterogeneity in reovirus mRNA.
http,1977,"G. Schutz, S. Kieval, Bernd Groner, A. E. Sippel, D. Kurtz, P. Feigelson",Isolation of specific messenger RNA by adsorption of polysomes to matrix-bound antibody.
http,1977,"U. Lavi, R. Fernandez-Munoz, J. E. Darnell Jr.",Content of N-6 methyl adenylic acid in heterogeneous nuclear and messenger RNA of HeLa cells.
http,1977,"L. Willmitzer, Jrgen Bode, K. G. Wagner","Phosphorylated protamines. II. Circular dichroism of complexes with DNA, dependency on ionic strength."
http,1977,"D. M. Skinner, C. A. Chambers",The interactions of the separated strands of satellite DNAs with other DNAs: 1. Conditions for associations of the alpha-satellite of the guinea pig with heterologous double-stranded DNAs.
http,1977,"J. A. Steitz, A. J. Wahba, M. Laughrea, P. B. Moore",Differential requirements for polypeptide chain initiation complex formation at the three bacteriophage R17 initiator regions.
distributed computing,1986,"Marta Cialdea, Luis Farias del Cerro",A Modal Herbrand's Property.
spoofing,1998,Alessandro Lofaro,The cultural factor in information warfare.
honeypot,2002,"Vikas Jayaswal, William Yurcik, David Doss",Internet hack back: counter attacks as self-defense or vigilantism?
honeypot,2002,"Brian Scottberg, William Yurcik, David Doss",Internet honeypots: protection or entrapment?
ssl,1976,John Case,Sortability and Extensibility of the Graphs of Recursively Enumerable Partial and Total Orders.
ssl,1976,Thomas G. McLaughlin,Trees and Isols II.
ssl,1976,A. Alan B. Pritsker,Three simulation approaches to queueing studies using GASP IV.
zombie,1995,"Julie Vonwiller, Inge Rogers, Christopher Cleirigh, Wendy Lewis",Speaker and Material Selection for the Australian National Database of Spoken Language.
middleware,1998,"Manfred Broy, Anton Deimel, Juergen Henn, Kai Koskimies, Frantisek Plasil, Gustav Pomberger, Wolfgang Pree, Michael Stal, Clemens A. Szyperski",What characterizes a (software) component?
middleware,1998,"Gerard Parr, Kevin Curran",Dynamic multimedia protocol stacks.
middleware,1998,"David J. Duke, Ivan Herman",Programming Paradigms in an Object-Oriented Multimedia Standard.
virus,1977,"K. Henco, Detlev Riesner, H. L. Sanger",Conformation of viroids.
virus,1977,"A. J. Bell, N. Hardman",Characterization of foldback sequences in hamster DNA using electron microsocpy.
virus,1977,"K. E. Hastings, S. Millward",5' Terminal noncoding sequence heterogeneity in reovirus mRNA.
virus,1977,"U. Lavi, R. Fernandez-Munoz, J. E. Darnell Jr.",Content of N-6 methyl adenylic acid in heterogeneous nuclear and messenger RNA of HeLa cells.
packed memory array,2013,"Vikas, Travis Scott, Nasser Giacaman, Oliver Sinnen",Using OpenMP under Android.
packed memory array,2013,"Marie Durand, Franois Broquedis, Thierry Gautier, Bruno Raffin",An Efficient OpenMP Loop Scheduler for Irregular Applications on Large-Scale NUMA Machines.
packed memory array,2013,"Eric Stotzer, Ajay Jayaraj, Murtaza Ali, Arnon Friedmann, Gaurav Mitra, Alistair P. Rendell, Ian Lintault",OpenMP on the Low-Power TI Keystone II ARM/DSP System-on-Chip.
virtual machine,1991,Robert Balzer,Process virtual machine.
virtual machine,1991,Aaron Sloman,The explanatory role of mental states.
infrastructure as a service,2009,"Pavan Yara, Ramaseshan Ramachandran, Gayathri Balasubramanian, Karthik Muthuswamy, Divya Chandrasekar",Global Software Development with Cloud Platforms.
infrastructure as a service,2009,"Carlo Combi, Mauro Gambini",Flaws in the Flow: The Weakness of Unstructured Business Process Modeling Languages Dealing with Data.
infrastructure as a service,2009,"Chahnez Zakaria, Olivier Cur, Gabriella Salzano, Kamel Smali",Formalized Conflicts Detection Based on the Analysis of Multiple Emails: An Approach Combining Statistics and Ontologies.
infrastructure as a service,2009,"Jiajie Xu, Chengfei Liu, Xiaohui Zhao 0001",Resource Planning for Massive Number of Process Instances.
infrastructure as a service,2009,"Kerstin Gerke, Jorge S. Cardoso, Alexander Claus",Measuring the Compliance of Processes with Reference Models.
infrastructure as a service,2009,"Christof Weinhardt, Arun Anandasivam, Benjamin Blau, Nikolay Borissov, Thomas Meinl, Wibke Michalk, Jochen Ster","Cloud Computing - A Classification, Business Models, and Research Directions."
infrastructure as a service,2009,"Tanja Suomalainen, Maarit Tihinen, Pivi Parviainen",Challenges for Product Roadmapping in Inter-company Collaboration.
infrastructure as a service,2009,"Daniel Schleicher, Tobias Anstett, Frank Leymann, Ralph Mietzner",Maintaining Compliance in Customizable Process Models.
infrastructure as a service,2009,"Ana Carina M. Almeida, Renata M. C. R. Souza, Gibeon Aquino, Silvio Romero de Lemos Meira",Effort Drivers Estimation for Brazilian Geographically Distributed Software Development.
infrastructure as a service,2009,"Rui Han 0001, Yingbo Liu, Lijie Wen, Jianmin Wang 0001",A Two-Stage Probabilistic Approach to Manage Personal Worklist in Workflow Management Systems.
infrastructure as a service,2009,"Juan Carlos Garca, Stefan Beyer, Pablo Galdmez",A Stability Criteria Membership Protocol for Ad Hoc Networks.
infrastructure as a service,2009,"Ahmed Awad, Sergey Smirnov 0002, Mathias Weske",Resolution of Compliance Violation in Business Process Models: A Planning-Based Approach.
infrastructure as a service,2009,"Ralph Mietzner, Tobias Unger, Frank Leymann",Cafe: A Generic Configurable Customizable Composite Cloud Application Framework.
low-level language,1996,"Christopher Connelly, Alan W. Biermann, David M. Pennock, Peter Wu",Home Study Software: Complementary Systems for Computer Science Courses.
low-level language,1996,"Francisco Moreno-Seco, Mikel L. Forcada",Learning Compiler Design as a Research Activity.
resource description framework,2002,"David A. Duce, Ivan Herman, F. Robert A. Hopgood",Web 2D Graphics File Formats.
resource description framework,2002,"Fabien Gandon, Agostino Poggi, Giovanni Rimassa, Paola Turci",Multi-Agent Corporate Memory Management System.
loophole,1998,"Ian P. Gent, Toby Walsh",Analysis of Heuristics for Number Partitioning.
natural language processing,1986,"Marta Cialdea, Luis Farias del Cerro",A Modal Herbrand's Property.
nlp,1976,David W. H. Gillam,Relatively Complete Theories.
general purpose language,1990,Robert Balzer,What we do and don't know about the software process.
hashtable,1993,Joseph Bergin,The Object-Oriented Course in Data Abstraction.
blockchain,2005,Goichiro Hanaoka,Unconditionally secure signatures and its related schemes.
sql,1976,Alan Rose,Formalisations With Non-Standard Degrees of Completeness.
ocaml,2004,"Richard D. LeDuc, Gregory K. Taylor, Yong-Bin Kim, Thomas E. Januszyk, Lee H. Bynum, Joseph V. Sola, John S. Garavelli, Neil L. Kelleher",ProSight PTM: an integrated environment for protein identification and characterization by top-down mass spectrometry.
fuzzy logic,1976,Ivor Grattan-Guinness,Fuzzy Membership Mapped onto Intervals and Many-Valued Quantities.
vlsi,1976,"Herbert R. Ludwig, Joel M. Noe, Robert A. Chase",Interactive data analysis.
pseudocode,1990,Larry Hughes,Teaching Data Communications to Computer Science Students.
hungarian notation,2010,"Marco Crasso, Alejandro Zunino, Marcelo Campo",Combining Document Classification and Ontology Alignment for Semantically Enriching Web Services.
hello world,2003,"Michael Klling, Bruce Quig, Andrew Patterson, John Rosenberg",The BlueJ System and its Pedagogy.
pixel shader,2002,"Liu Ren, Hanspeter Pfister, Matthias Zwicker",Object Space EWA Surface Splatting: A Hardware Accelerated Approach to High Quality Point Rendering.
source code,1987,"Jay Liebowitz, Patricia Lightfoot",Expert scheduling systems: Survey and Preliminary design concepts.
internet of things,2008,Dirk Henrici,"RFID Security and Privacy - Concepts, Protocols, and Architectures"
text analytics,2008,"Frank Wagner 0002, Kathleen Krebs, Cataldo Mega, Bernhard Mitschang, Norbert Ritter",Towards the Design of a Scalable Email Archiving and Discovery Solution.
text analytics,2008,Heikki Mannila,Randomization Techniques for Data Mining Methods.
text analytics,2008,"Mats Ondreicka, Jaroslav Pokorn",Extending Fagin's Algorithm for More Users Based on Multidimensional B-Tree.
